DATE,HOUR,COUNTRY,UNIT,OFFER_TYPE,ENERGY,PRICE,MATCHED
01/02/2025,1,MI,,C,25.0,105.0,O
01/02/2025,1,MI,,C,1.0,103.14,O
01/02/2025,1,MI,,C,3.0,103.14,O
01/02/2025,1,MI,,C,3.0,101.14,O
01/02/2025,1,MI,,C,20.0,100.4,O
01/02/2025,1,MI,,C,1.0,100.0,O
01/02/2025,1,MI,,C,13.4,100.0,O
01/02/2025,1,MI,,C,15.0,98.6,O
01/02/2025,1,MI,,C,3.0,98.14,O
01/02/2025,1,MI,,C,4.8,98.0,O
01/02/2025,1,MI,,C,20.0,97.4,O
01/02/2025,1,MI,,C,15.0,95.6,O
01/02/2025,1,MI,,C,4.8,95.5,O
01/02/2025,1,MI,,C,8.8,95.09,O
01/02/2025,1,MI,,C,4.7,95.09,O
01/02/2025,1,MI,,C,0.7,95.09,O
01/02/2025,1,MI,,C,0.8,95.09,O
01/02/2025,1,MI,,C,1.7,95.09,O
01/02/2025,1,MI,,C,25.0,95.0,O
01/02/2025,1,MI,,C,9.9,94.93,O
01/02/2025,1,MI,,C,20.0,94.4,O
01/02/2025,1,MI,,C,4.8,93.0,O
01/02/2025,1,MI,,C,40.0,92.01,O
01/02/2025,1,MI,,C,26.9,92.0,O
01/02/2025,1,MI,,C,20.0,92.0,O
01/02/2025,1,MI,,C,4.8,90.5,O
01/02/2025,1,MI,,C,4.8,88.0,O
01/02/2025,1,MI,,C,40.0,87.99,O
01/02/2025,1,MI,,C,10.0,84.76,O
01/02/2025,1,MI,,C,10.0,84.76,O
01/02/2025,1,MI,,C,12.0,83.0,O
01/02/2025,1,MI,,C,12.5,82.46,O
01/02/2025,1,MI,,C,11.3,80.09,O
01/02/2025,1,MI,,C,1.4,80.09,O
01/02/2025,1,MI,,C,3.2,80.09,O
01/02/2025,1,MI,,C,1.7,80.09,O
01/02/2025,1,MI,,C,7.0,80.09,O
01/02/2025,1,MI,,C,10.0,79.76,O
01/02/2025,1,MI,,C,10.0,79.76,O
01/02/2025,1,MI,,C,15.0,79.4,O
01/02/2025,1,MI,,C,25.0,77.0,O
01/02/2025,1,MI,,C,15.0,76.75,O
01/02/2025,1,MI,,C,20.0,76.67,O
01/02/2025,1,MI,,C,20.0,75.4,O
01/02/2025,1,MI,,C,10.0,74.76,O
01/02/2025,1,MI,,C,10.0,74.76,O
01/02/2025,1,MI,,C,13.8,74.1,O
01/02/2025,1,MI,,C,2.5,74.09,O
01/02/2025,1,MI,,C,1.8,74.09,O
01/02/2025,1,MI,,C,3.9,74.09,O
01/02/2025,1,MI,,C,10.9,74.09,O
01/02/2025,1,MI,,C,12.5,72.46,O
01/02/2025,1,MI,,C,20.1,71.67,O
01/02/2025,1,MI,,C,1.0,71.5,O
01/02/2025,1,MI,,C,34.1,71.5,O
01/02/2025,1,MI,,C,14.9,71.5,O
01/02/2025,1,MI,,C,20.0,71.4,O
01/02/2025,1,MI,,C,190.0,70.67,O
